Advanced Business (Honours),https://my.uq.edu.au/programs-courses/program.html?acad_prog=2139,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2139,Accounting,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=ACCNTC2139,2139,ACCNTC2139
,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2139,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2139,Business Analytics,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=BUSANC2139,2139,BUSANC2139
,,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2139,Business Information Systems,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=BISYSC2139,2139,BISYSC2139
,,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2139,Finance,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=FINANC2139,2139,FINANC2139
,,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2139,Human Resources,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=HMRESC2139,2139,HMRESC2139
,,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2139,Innovation and Entrepreneurship,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=INNOVC2139,2139,INNOVC2139
,,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2139,International Business,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=INBUSC2139,2139,INBUSC2139
,,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2139,Marketing,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=MARKEC2139,2139,MARKEC2139
Advanced Finance and Economics (Honours),https://my.uq.edu.au/programs-courses/program.html?acad_prog=2140,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2140,Economics,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=ECONOC2140,2140,ECONOC2140
,,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2140,Finance,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=FINANC2140,2140,FINANC2140
Advanced Humanities (Honours),https://my.uq.edu.au/programs-courses/program.html?acad_prog=2414,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2414,Ancient History,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=ANCIEC2414,2414,ANCIEC2414
,,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2414,Ancient History,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=ANCIED2414,2414,ANCIED2414
,,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2414,Art History,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=ARTHIC2414,2414,ARTHIC2414
,,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2414,Art History,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=ARTHID2414,2414,ARTHID2414
,,https://my.uq.edu.au/programs-courses/program.html?acad_prog=2414,Drama,https://my.uq.edu.au/programs-courses/plan.html?acad_plan=DRAMAC2414,2414,DRAMAC2414
